批次	样本名	24标签	barcode新编号	barcode原编号	RUN号	DPN名称	服务器	fastq文件	reads数	参考序列	参考长度bp	备注
第三批	4-1	24标签-2	barcode-02	Adaptor-barcode250-4	20260815_250804Y0004_Run0002	30-43	153服务器	/data1/ccs_data/str-optimization/third-batch-of-data/20260815_250804Y0004_Run0002/barcode_assign/Adaptor-barcode250-4.fastq	29444	/data1/ccs_data/str-optimization/third-batch-of-data/STR第三批一代测序/STR第三批一代测序/merged_output/260731STR4-1.fa	664	
第三批	40-2	24标签-3	barcode-03	Adaptor-barcode271-3	20260815_250804Y0004_Run0002	30-43	153服务器	/data1/ccs_data/str-optimization/third-batch-of-data/20260815_250804Y0004_Run0002/barcode_assign/Adaptor-barcode271-3.fastq	11215	/data1/ccs_data/str-optimization/third-batch-of-data/STR第三批一代测序/STR第三批一代测序/merged_output/260731STR40-2.fa	903	
第三批	18-1	24标签-4	barcode-04	Adaptor-barcode266-2	20260815_250804Y0004_Run0002	30-43	153服务器	/data1/ccs_data/str-optimization/third-batch-of-data/20260815_250804Y0004_Run0002/barcode_assign/Adaptor-barcode266-2.fastq	28480	/data1/ccs_data/str-optimization/third-batch-of-data/STR第三批一代测序/STR第三批一代测序/merged_output/260805STR18-1.fa	603	
第三批	37-1	24标签-5	barcode-05	Adaptor-barcode229-0	20260815_250804Y0004_Run0002	30-43	153服务器	/data1/ccs_data/str-optimization/third-batch-of-data/20260815_250804Y0004_Run0002/barcode_assign/Adaptor-barcode229-0.fastq	30344	/data1/ccs_data/str-optimization/third-batch-of-data/STR第三批一代测序/STR第三批一代测序/merged_output/260731STR37-1.fa	719	
第三批	20-1	24标签-6	barcode-06	Adaptor-barcode255-3	20260815_250804Y0004_Run0002	30-43	153服务器	/data1/ccs_data/str-optimization/third-batch-of-data/20260815_250804Y0004_Run0002/barcode_assign/Adaptor-barcode255-3.fastq	17591	/data1/ccs_data/str-optimization/third-batch-of-data/STR第三批一代测序/STR第三批一代测序/merged_output/260805STR20-1.fa	635	
第三批	31-1	24标签-7	barcode-07	Adaptor-barcode261-3	20260815_250804Y0004_Run0002	30-43	153服务器	/data1/ccs_data/str-optimization/third-batch-of-data/20260815_250804Y0004_Run0002/barcode_assign/Adaptor-barcode261-3.fastq	17593	/data1/ccs_data/str-optimization/third-batch-of-data/STR第三批一代测序/STR第三批一代测序/merged_output/260805STR31-1.fa	951	
第三批	22-1	24标签-8	barcode-08	Adaptor-barcode206-3	20260815_250804Y0004_Run0002	30-43	153服务器	/data1/ccs_data/str-optimization/third-batch-of-data/20260815_250804Y0004_Run0002/barcode_assign/Adaptor-barcode206-3.fastq	14799	/data1/ccs_data/str-optimization/third-batch-of-data/STR第三批一代测序/STR第三批一代测序/merged_output/260805STR22-1.fa	334	
第三批	32-1	24标签-9	barcode-09	Adaptor-barcode230-2	20260815_250804Y0004_Run0002	30-43	153服务器	/data1/ccs_data/str-optimization/third-batch-of-data/20260815_250804Y0004_Run0002/barcode_assign/Adaptor-barcode230-2.fastq	20995	/data1/ccs_data/str-optimization/third-batch-of-data/STR第三批一代测序/STR第三批一代测序/merged_output/260805STR32-1.fa	553	
第三批	35-2	24标签-10	barcode-10	Adaptor-barcode256-3	20260815_250804Y0004_Run0002	30-43	153服务器	/data1/ccs_data/str-optimization/third-batch-of-data/20260815_250804Y0004_Run0002/barcode_assign/Adaptor-barcode256-3.fastq	25097	/data1/ccs_data/str-optimization/third-batch-of-data/STR第三批一代测序/STR第三批一代测序/merged_output/260731STR35-2.fa	727	
第三批	85-1	24标签-11	barcode-11	Adaptor-barcode207-4	20260815_250804Y0004_Run0002	30-43	153服务器	/data1/ccs_data/str-optimization/third-batch-of-data/20260815_250804Y0004_Run0002/barcode_assign/Adaptor-barcode207-4.fastq	22043	/data1/ccs_data/str-optimization/third-batch-of-data/STR第三批一代测序/STR第三批一代测序/merged_output/260805STR85-1.fa	617	
第三批	17-1	24标签-12	barcode-12	Adaptor-barcode222-2	20260815_250804Y0004_Run0002	30-43	153服务器	/data1/ccs_data/str-optimization/third-batch-of-data/20260815_250804Y0004_Run0002/barcode_assign/Adaptor-barcode222-2.fastq	34763	/data1/ccs_data/str-optimization/third-batch-of-data/STR第三批一代测序/STR第三批一代测序/merged_output/260805STR17-1.fa	346	
第三批	36-2	24标签-13	barcode-13	Adaptor-barcode270-0	20260815_250804Y0004_Run0002	30-43	153服务器	/data1/ccs_data/str-optimization/third-batch-of-data/20260815_250804Y0004_Run0002/barcode_assign/Adaptor-barcode270-0.fastq	19373	/data1/ccs_data/str-optimization/third-batch-of-data/STR第三批一代测序/STR第三批一代测序/merged_output/260805STR36-2.fa	722	
第三批	41-1	24标签-14	barcode-14	Adaptor-barcode201-5	20260815_250804Y0004_Run0002	30-43	153服务器	/data1/ccs_data/str-optimization/third-batch-of-data/20260815_250804Y0004_Run0002/barcode_assign/Adaptor-barcode201-5.fastq	24564	/data1/ccs_data/str-optimization/third-batch-of-data/STR第三批一代测序/STR第三批一代测序/merged_output/260731STR41-1.fa	777	
